Question,A,B,C,D,Correct
Cá nhân khi bán nhà ở của mình phải nộp những loại thuế gì sau đây?,Thuế trước bạ.,Thuế thu nhập cá nhân từ chuyển nhượng bất động sản.,Thuế VAT.,Thuế môi trường.,A
"Để hiệu quả việc mua bán hàng, nhà môi giới bất động sản cần phải làm gì?","Chuẩn bị đầy đủ tài liệu, hồ sơ và hợp đồng mẫu của dự án.","Kiểm tra rà soát đầy đủ các dữ liệu, thông tin về dự án để tư vấn cho khách hàng.","Lập phương án truyền thông, markerting tìm kiếm thu hút khách hàng","Cả đáp án A, B và C đều đúng.",A
"Công ty C là doanh nghiệp môi giới, đã ký hợp đồng môi giới với chủ đầu tư dự án Y (chưa hoàn thành thủ tục nghiệm thu hạ tầng). Công ty C thu tiền “giữ chỗ” của khách hàng... Đánh giá pháp lý đúng nhất là:",Không vi phạm vì chỉ là tiền giữ chỗ,Trách nhiệm thuộc hoàn toàn về chủ đầu tư,Vi phạm vì môi giới thu tiền khi BĐS chưa đủ điều kiện kinh doanh,Hợp pháp nếu có thỏa thuận hoàn tiền,A
"Trong trường hợp khách hàng muốn mua bất động sản nhưng không đủ tiền, bạn nên:",Khuyên khách hàng vay thêm để hoàn tất giao dịch.,Giới thiệu bất động sản khác phù hợp với ngân sách.,Gợi ý khách hàng nhờ người thân đứng tên.,Vẫn tiến hành giao dịch vì khách hàng đã quyết tâm,A
Đặc điểm nào sau đây không thuộc lập trường đàm phán theo kiểu cứng:,Ép đối phương phải nhượng bộ. [CỨNG],Bám chặt lấy lập trường. [LẬP TRƯỜNG],Coi đối tác như bạn bè. [MỀM],"Cả A, B, C đều sai.",A
"Khách hàng muốn bạn tìm một căn hộ với yêu cầu rất cụ thể (diện tích, giá cả, vị trí) nhưng bạn không thể tìm thấy căn hộ nào đáp ứng đầy đủ. Bạn sẽ làm gì?",Đề nghị khách hàng thay đổi yêu cầu để dễ dàng tìm được bất động sản.,Để khách hàng tự tìm kiếm bất động sản.,Tìm bất động sản phù hợp với một số yêu cầu nhưng không hoàn toàn đáp ứng hết.,Cố gắng tìm bất động sản dù không phù hợp với yêu cầu ban đầu của khách hàng.,A
Tâm lý chung của khách hàng mua căn hộ lần thứ hai là,Sợ rằng rủi ro tài chính sẽ rất lớn.,Tìm hiểu thông tin liên quan rất kỹ.,Đáp án A và B đúng.,Đáp án A và B sai.,A
"Khách hàng yêu cầu bạn tìm bất động sản có giá trị cao để đầu tư, nhưng ngân sách của họ lại khá hạn chế. Bạn sẽ làm gì?",Khuyên khách hàng không nên đầu tư vì ngân sách quá thấp.,Tư vấn cho khách hàng về các bất động sản có tiềm năng tăng giá nhưng vẫn nằm trong ngân sách của họ.,Đưa ra các lựa chọn bất động sản cao cấp dù ngân sách của khách hàng không đủ.,Tìm bất động sản giá rẻ mà không quan tâm đến tiềm năng tăng giá.,A
Một khách hàng yêu cầu bạn chỉ giới thiệu những bất động sản chưa qua tay trung gian. Bạn phát hiện một số bất động sản qua trung gian nhưng có giá tốt. Bạn sẽ làm gì?,Đưa ra lựa chọn mà không thông báo với khách hàng về việc có qua trung gian hay không.,"Chỉ giới thiệu những bất động sản chưa qua tay trung gian, dù giá không tốt bằng.",Giới thiệu những bất động sản qua trung gian và giải thích lý do tại sao chúng lại có giá tốt.,Bỏ qua yêu cầu của khách hàng và giới thiệu tất cả các bất động sản có giá tốt,A
Cá nhân được cấp chứng chỉ hành nghề môi giới bất động sản khi có đủ các điều kiện nào sau đây?,Đã qua sát hạch về kiến thức môi giới bất động sản,Có năng lực hành vi dân sự đầy đủ.,"Không đang bị truy cứu trách nhiệm hình sự, đang bị tạm giam, đang chấp hành án phạt tù, đang bị áp dụng biện pháp xử lý hành chính đưa vào cơ sở cai nghiện bắt buộc, cơ sở giáo dục bắt buộc hoặc đang bị Tòa án cấm đảm nhiệm chức vụ, cấm hành nghề hoặc làm công việc nhất định","Cả đáp án A, B và C đều đúng",A
Kỹ năng vượt qua thắc mắc của khách hàng:,"Ghi chép thông tin, phân loại ý kiến khách hàng, đồng cảm khi trả lời khách hàng, lôi kéo sự đồng ý của khách hàng.","Lắng nghe cẩn thận, bình tĩnh, không ngắt lời.","Lặp lại câu phản đối dưới dạng câu hỏi, nói chuyện ôn hòa, đồng cảm khi trả lời khách hàng, lôi kéo sự đồng ý của khách hàng.",Đáp án B và C.,A
"Khách hàng yêu cầu bạn tìm một căn hộ chung cư giá thấp, nhưng chất lượng không được đảm bảo. Bạn sẽ làm gì?",Tư vấn cho khách hàng về chất lượng của căn hộ và đưa ra các lựa chọn hợp lý hơn.,Tìm đúng yêu cầu của khách hàng để hoàn thành giao dịch.,Từ chối tìm kiếm bất động sản cho khách hàng.,Chấp nhận mọi yêu cầu của khách mà không cần tư vấn thêm.,A
Đâu là nội dung hoạt động của sàn giao dịch bất động sản?,"Thực hiện dịch vụ môi giới bất động sản, hỗ trợ các bên đàm phán, thương thảo giao dịch bất động sản [NỘI DUNG THỰC HIỆN]",Từ chối đưa lên sàn giao dịch bất động sản các bất động sản không đủ điều kiện đưa vào kinh doanh Q,Được thu phí dịch vụ của khách hàng có bất động sản được đưa lên sàn giao dịch bất động sản. Q,Yêu cầu khách hàng bồi thường thiệt hại do lỗi của khách hàng gây ra. Q,A
Các thông tin về BĐS cần thu thập gồm:,Thông tin về kinh tế kỹ thuật.,Thông tin về tình trạng pháp lý.,"Thông tin về môi trường xã hội, lịch sử phát triển.",Cả 3 câu trên đều đúng.,A
"Nghĩa vụ của sàn giao dịch bất động sản, sàn giao dịch có nghĩa vụ gì đối với nhân viên môi giới?",Tổ chức đào tạo nhân viên môi giới bất động sản mỗi khi có thay đổi luật.,Tổ chức đào tạo nhân viên môi giới bất động sản miễn phí.,"Tổ chức đào tạo, bồi dưỡng cho nhân viên môi giới bất động sản hàng tháng","Tổ chức đào tạo, bồi dưỡng nâng cao kiến thức hành nghề môi giới bất động sản cho nhân viên môi giới làm việc tại sàn hàng năm.",A
"Toàn bộ quá trình thiết kế, thu thập, xử lý, phân tích các thông tin và báo cáo được gọi là:",Marketing.,Nghiên cứu.,Phân phối.,Quản trị,A
Nghĩa vụ của doanh nghiệp kinh doanh dịch vụ môi giới bất động sản?,"Yêu cầu khách hàng cung cấp hồ sơ, thông tin về bất động sản. Q","Hưởng thù lao, hoa hồng môi giới theo thỏa thuận trong hợp đồng đã ký với khách hàng. Q","Thuê doanh nghiệp kinh doanh dịch vụ môi giới bất động sản, cá nhân kinh doanh dịch vụ môi giới bất động sản độc lập khác thực hiện công việc môi giới bất động sản trong phạm vi hợp đồng dịch vụ môi giới bất động sản đã ký với khách hàng, nhưng phải chịu trách nhiệm trước khách hàng về kết quả môi giới. Q","Cung cấp hồ sơ, thông tin về bất động sản do mình môi giới và chịu trách nhiệm về hồ sơ, thông tin do mình cung cấp. NV",A
Nguyên nhân nào dẫn đến hiện tượng sốt nóng ảo trên thị trường bất động sản?,Do giới đầu cơ thao túng làm biến động mạnh về cầu bất động sản.,"Do kém minh bạch về thông tin; Các nhà đầu cơ lợi dụng thông tin quy hoạch, điều chỉnh chính sách để thổi phồng giá trị bất động sản.","Do giới đầu cơ tạo ra ""cầu ảo"" nhằm làm tăng giá, thu hút đám đông tham gia.","Đáp án A, B và C đều đúng.",A
"Số lượng ""cung"" nhà ở cố định và ""cầu"" nhà ở giảm, giá nhà sẽ thay đổi thế nào?",Tăng,Không đổi,Giảm,Giá nhà tăng rồi giảm,A
Khách hàng quan tâm điều gì nhất khi tìm hiểu để mua chung cư?,"Hạ tầng kỹ thuật, giá cả, diện tích sử dụng","Giá cả, diện tích sử dụng, vị trí giao thông","Môi trường sống, chi phí sử dụng, diện tích khu vực","Cả đáp án A, B và C đều đúng.",A
Trong trường hợp nào cơ quan quản lý nhà nước về kinh doanh bất động sản cấp tỉnh có quyền thu hồi Giấy phép hoạt động của sàn giao dịch bất động sản?,Khi sàn giao dịch bất động sản không cung cấp đủ thông tin cho khách hàng.,Khi sàn giao dịch bất động sản vi phạm quy định tại Điều 8 Luật Kinh doanh bất động sản và pháp luật có liên quan.,Khi sàn giao dịch bất động sản thay đổi địa điểm hoạt động mà không thông báo.,Khi sàn giao dịch bất động sản không hoàn thành nghĩa vụ thuế.,A
"Khi người môi giới đại diện cho bên bán làm việc với bên mua, phần nào sau đây không thuộc nhiệm vụ thực hiện của người môi giới đối với bên mua?",Nhiệm vụ ủy thác,"Tư vấn sửa chữa, thanh lý hợp đồng mua bán BĐS",Tư vấn cho khách hàng để có sự hiểu rõ toàn diện về BĐS.,"Cả A, B, C đều đúng.",A
"Để lập hồ sơ thương vụ môi giới BĐS, bên cung cần cung cấp:","Thông tin chủ sở hữu, các loại giấy tờ, hồ sơ pháp lý của BĐS","Các giấy tờ liên quan đến thương vụ như giấy đặt cọc, phiếu thu chi ...",Hợp đồng dịch vụ môi giới,"Cả A, B và C",A
"Khi bạn giới thiệu một bất động sản cho khách hàng, bạn có nghĩa vụ gì về tính minh bạch của thông tin?",Không cần phải báo cho khách hàng về các vấn đề pháp lý nếu khách hàng không yêu cầu,"Chỉ cung cấp thông tin cơ bản, không cần giải thích chi tiết.","Phải cung cấp thông tin đầy đủ, chính xác và không gây hiểu lầm cho khách hàng.",Chỉ giới thiệu các bất động sản mà bạn có hoa hồng cao,A
Giải đáp thắc mắc của khách hàng nhằm mục tiêu:,"Giải thích khi khách hiểu sai, chứng minh khi khách nghi ngờ","Phân tích để khách hàng thấy được lợi ích lâu dài, tìm hiểu nguyên nhân để ứng xử khi khách than phiền",Trao đổi để có các điều khoản thuận lợi hơn,Đáp án A và B,A
Nếu bạn che giấu hoặc làm sai lệch thông tin về bất động sản sẽ dẫn đến hậu quả gì trong kinh doanh bất động sản?,"Có thể làm ảnh hưởng đến lợi ích, gây thiệt hại cho phía khách hàng.",Chỉ bị cảnh cáo nếu không gây thiệt hại cho khách hàng.,Không bị xử lý vì đây là hành vi chấp nhận được trong kinh doanh bất động sản.,Không có trách nhiệm pháp lý nếu khách hàng không phát hiện ra,A
Các thông tin nào sau đây là cần thiết đối với nhà môi giới bất động sản khi thu thập thông tin về bất động sản:,"Thông tin kinh tế, kỹ thuật về bất động sản",Thông tin pháp lý về bất động sản,"Thông tin về lịch sử, xã hội của bất động sản","Đáp án A, B và C",A
Chức năng của quảng cáo gồm:,"Chức năng gợi nhớ, chức năng thông tin, chức năng định giá","Chức năng gợi nhớ, chức năng thông tin, chức năng thuyết phục.","Chức năng thông tin, chức năng định giá, chức năng thuyết phục.","Cả A, B và C đều sai",A
Trong nghiệp vụ khảo sát thực tế BĐS cần phải:,"Thu nhận hồ sơ pháp lý, tiến hành ký kết hợp đồng môi giới, thu phí môi giới.","Thể hiện thông tin trung thực, theo dõi tiến trình môi giới, thu nhận hồ sơ pháp lý.","Thu nhận hồ sơ pháp lý, khảo sát thực tế, thể hiện thông tin trung thực.","Xác định nhu cầu khách hàng, theo dõi tiến trình môi giới, xử lý thông tin khách hàng",A
Đâu là quyền của doanh nghiệp kinh doanh dịch vụ môi giới bất động sản?,Được thu phí dịch vụ của khách hàng theo thoả thuận Q,Được quyết định điều kiện giao dịch bất động sản mà không cần sự đồng thuận của các bên.,Được yêu cầu khách hàng trả thêm phí không có trong hợp đồng,Được phép tự quyết định giá bán bất động sản mà không cần thỏa thuận với khách hàng.,A
Vai trò của môi giới bất động sản trong thị trường bất động sản?,Cung cấp thông tin cho các chủ thể tham gia vào hoạt động giao dịch hàng hóa bất động sản và thúc đẩy thị trường bất động sản phát triển;,Khai thác nguồn thu cho ngân sách nhà nước;,"Góp phần ổn định trật tự, an ninh xã hội và thúc đẩy đổi mới chính sách quản lý bất động sản;","Đáp án A, B và C.",A
Mức thù lao của dịch vụ môi giới bất động sản được xác định:,Không quá 3% giá trị bất động sản được tư vấn,Theo thỏa thuận trong hợp đồng,Không ít hơn 500.000 đồng cho mỗi lần tư vấn,"Đáp án A, B và C đều đúng",A
Doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản có quyền:,"Tự ý bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua tất cả các bất động sản được đưa lên sàn giao dịch bất động sản.","Quản lý, giám sát việc khai thác, sử dụng bất động sản của khách hàng [QUẢN LÝ BĐS]",Được thu phí dịch vụ của khách hàng có bất động sản được đưa lên sàn giao dịch bất động sản. Q,Yêu cầu khách hàng bồi thường tất cả các thiệt hại khi xảy ra,A
"Để thực hiện tốt vai trò của mình, nhà môi giới được đòi hỏi phải:",Có chứng chỉ hành nghề môi giới bất động sản,Đầu tư nhiều thời gian cho nghể nghiệp và rèn luyện các kỹ năng,Kiên nhẫn và đạo đức,"Cả A, B và C",A
Nêu các dạng nguồn cung bất động sản?,Bán.,"Cho thuê, cho thuê lại.",Đầu tư liên doanh liên kết.,"Cả A, B và C",A
"Tổ chức, cá nhân tham gia sàn giao dịch bất động sản có các quyền nào sau đây?","Yêu cầu doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản cung cấp hồ sơ, thông tin về bất động sản Q","Ký hợp đồng với doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản để mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản. Q",Yêu cầu doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản bồi thường thiệt hại do lỗi của sàn giao dịch bất động sản gây ra. Q,"Cả A, B và C.",A
Nghĩa vụ của doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản bao gồm những nghĩa vụ nào?,Bảo đảm bất động sản được đưa lên sàn giao dịch phải có đủ điều kiện được giao dịch. NV,"Cung cấp đầy đủ, trung thực hồ sơ, thông tin về bất động sản và chịu trách nhiệm về hồ sơ, thông tin do mình cung cấp. NV","Bảo đảm cơ sở vật chất, kỹ thuật và điều kiện hoạt động của sàn giao dịch bất động sản. NV","Cả A, B và C.",A
Tư vấn bất động sản là:,"Nơi diễn ra các giao dịch về mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản.",Hoạt động trợ giúp về các vấn đề liên quan đến kinh doanh bất động sản theo yêu cầu của các bên.,"Nhà, công trình xây dựng đã hoàn thành việc xây dựng và đưa vào sử dụng.","Nhà, công trình xây dựng đang trong quá trình xây dựng và chưa được nghiệm thu đưa vào sử dụng.",A
Chính sách của Nhà nước đối với đầu tư kinh doanh bất động sản là:,"Nhà nước đầu tư và khuyến khích tổ chức, cá nhân đầu tư dự án dịch vụ công ích đô thị, công trình hạ tầng xã hội trong phạm vi dự án đầu tư kinh doanh bất động sản.","Nhà nước có cơ chế, chính sách bình ổn thị trường bất động sản khi có biến động, bảo đảm lợi ích cho nhà đầu tư và khách hàng.","Nhà nước khuyến khích và có chính sách miễn, giảm thuế, tiền sử dụng đất, tiền thuê đất, tín dụng ưu đãi cho tổ chức, cá nhân đầu tư xây dựng nhà ở xã hội và dự án được ưu đãi đầu tư.","Cả A, B và C.",A
Phân đoạn thị trường là gì?,Là quá trình phân chia thị trường thành những đoạn nhỏ hơn mang tính không đồng nhất,Là quá trình phân chia thị trường thành những đoạn nhỏ hơn mang tính đồng nhất cao theo các tiêu thức.,Là quá trình phân chia thị trường thành những đoạn khác biệt mang tính không đồng nhất.,"Cả A, B và C.",A
Nội dung của Nghị định 16/2022/NĐ-CP ngày 28/01/2022 KHÔNG có quy định xử phạt vi phạm hành chính trong hoạt động nào dưới đây:,"Xây dựng, quản lý công trình hạ tầng kỹ thuật",Phòng cháy chữa cháy,Kinh doanh bất động sản,"Quản lý, phát triển nhà",A
Hệ thống marketing có những loại nhiệm vụ chủ yếu nào?,Truyền tải thông tin về hàng hóa mà doanh nghiệp có ý đinh cung cấp cho tị trường,Truyền tải thông tin và hình ảnh tốt của doanh nghiệp đến người tiêu dùng,Xây dựng và duy trì tốt mối quan hệ với khách hàng,"Cả A, B và C",A
Doanh nghiệp kinh doanh dịch vụ môi giới bất động sản phải có ít nhất bao nhiêu cá nhân có chứng chỉ hành nghề môi giới?,Ít nhất 01 cá nhân.,Ít nhất 02 cá nhân.,Ít nhất 03 cá nhân.,Tùy thuộc vào quy mô doanh nghiệp.,A
Quyền của doanh nghiệp kinh doanh dịch vụ môi giới bất động sản?,"Hỗ trợ các bên trong việc đàm phán, ký kết hợp đồng mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản. NV","Thực hiện chế độ báo cáo theo quy định của pháp luật và chịu sự kiểm tra, thanh tra của cơ quan nhà nước có thẩm quyền. NV",Bồi thường thiệt hại do lỗi của mình gây ra. NV,"Yêu cầu khách hàng cung cấp hồ sơ, thông tin về bất động sản Q",A
Hành động nào sau đây bị nhà nước thu hồi chứng chỉ hành nghề môi giới bất động sản:,"Cho người khác mượn, thuê chứng chỉ để hành nghề.",Người được cấp chứng chỉ kê khai trong hồ sơ xin cấp chứng chỉ không trung thực.,"Chứng chỉ bị tẩy, xoá, sửa chữa","Cả A, B và C.",A
"Theo Nghị định 16/2022/NĐ-CP, cá nhân hành nghề môi giới bất động sản nhưng không có chứng chỉ hành nghề theo quy định thì bị phạt tiền?",Từ 20 triệu đồng đến 40 triệu đồng,Từ 40 triệu đồng đến 60 triệu đồng,Từ 60 triệu đồng đến 80 triệu đồng,Từ 80 triệu đồng đến 100 triệu đồng,A
Đâu là nội dung kinh doanh dịch vụ tư vấn bất động sản?,"Tư vấn về hợp đồng mua bán, chuyển nhượng, thuê, thuê mua bất động sản","Bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản theo ủy quyền của chủ sở hữu nhà, công trình xây dựng, người có quyền sử dụng đất",Xây dựng và công bố các chỉ số đánh giá thị trường bất động sản,"Tổ chức thực hiện việc bảo trì, sửa chữa bất động sản.",A
Tổ chức tham gia sàn giao dịch bất động sản không có nghĩa vụ:,Thực hiện quy chế hoạt động của sàn giao dịch bất động sản. NV,Trả phí dịch vụ cho doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản. NV,Bồi thường thiệt hại do lỗi của mình gây ra. Các nghĩa vụ khác trong hợp đồng. NV,"Bảo đảm cơ sở vật chất, kỹ thuật và điều kiện hoạt động của sàn giao dịch bất động sản. [TỔ CHỨC CUNG CẤP SÀN GIAO DỊCH]",A
Nội dung nào dưới đây không phải là nghĩa vụ của doanh nghiệp kinh doanh dịch vụ sàn giao dịch bất động sản?,Bảo đảm bất động sản được đưa lên sàn giao dịch phải có đủ điều kiện được giao dịch.,"Cung cấp đầy đủ, trung thực hồ sơ, thông tin về bất động sản và chịu trách nhiệm về hồ sơ, thông tin do mình cung cấp.",Thu phí dịch vụ của khách hàng có bất động sản được đưa lên sàn giao dịch bất động sản. QUYỀN,Thực hiện nghĩa vụ về thuế với Nhà nước theo quy định của pháp luật.,A
Một chủ sở hữu bất động sản được ký kết hợp đồng môi giới với:,Duy nhất một đơn vị môi giới hoặc sàn bất động sản,Được ký kết với các nhà môi giới bất động sản độc lập,"Được ký kết với bất kỳ các cá nhân, doanh nghiệp kinh doanh môi giới bất động sản, sàn giao dịch bất động sản.",Tất cả đều sai.,A
"Để phát triển bền vững trong nghề môi giới bất động sản, các nhà môi giới bất động sản cần:",Đầu tư xây dựng thương hiệu cá nhân.,Hướng đến việc mang lại nhiều nhất giá trị cho khách hàng.,Tập trung phát triển năng lực chuyên môn và tuân thủ đạo đức nghề nghiệp.,"Cả A, B và C",A
Nguyên tắc nào dưới đây có thể dẫn đến đàm phán trong kinh doanh thành công:,Nhà đàm phán ngồi vào bàn đàm phán chỉ với 1 phương án duy nhất mà không có phương án thay thế.,Nhà đàm phán phải xác định rõ mục tiêu đàm phán và luôn bám sát nó trong suốt quá trình đàm phán,Nhà đàm phán có những định kiến với đối tác,Nhà đàm phán luôn nói nhiều thay vì hỏi nhiều,A
"Khi khách hàng yêu cầu môi giới giữ bản chính Giấy chứng nhận quyền sử dụng đất để làm tin, nhà môi giới nên xử lý thế nào là đúng đạo đức nghề nghiệp?",Đồng ý giữ để tạo lòng tin tuyệt đối.,Chỉ giữ nếu khách hàng trả thêm phí lưu giữ.,"Tuyệt đối không nên giữ, chỉ xem, sao chụp và hoàn trả ngay để tránh rủi ro pháp lý cho các bên.",Giao cho giám đốc công ty giữ.,A
"Tại sao trong hoạt động quảng cáo, truyền thông và bán hàng, các doanh nghiệp kinh doanh BĐS cần tập trung vào giá trị cốt lõi, giá trị khác biệt của sản phẩm trong việc cung ứng cho khách hàng?","Là yếu tố khách hàng cần và mua, tạo hấp dẫn và lôi cuốn thị trường",Để khác với các đối thủ,Do yêu cầu của các bên cho thuê mướn phương tiện quảng cáo là ngắn gọn và súc tích,"Cả A, B, C đều sai",A
Mục tiêu của chính sách điều tiết thị trường bất động sản của Nhà nước là gì?,Hạn chế hoạt động mua bán bất động sản tự do,Ưu tiên phát triển thị trường bất động sản ở các đô thị lớn,Tăng giá bất động sản để thu hút đầu tư nước ngoài,"Đảm bảo thị trường bất động sản phát triển lành mạnh, an toàn, bền vững",A
Đối tượng chính của thương vụ môi giới bất động sản gồm:,Bên Thuê -- Bên cho thuê,Bên bán -- Bên mua,Bên cung -- Bên cầu,Chủ đầu tư -- ngân hàng,A
Nội dung của môi giới bất động sản:,"Tìm kiếm đối tác đáp ứng các điều kiện của khách hàng để tham gia đàm phán, ký hợp đồng. Đại diện theo ủy quyền để thực hiện các công việc liên quan.","Cung cấp thông tin, hỗ trợ cho các bên trong việc đàm phán, ký hợp đồng",A và B đều đúng,Tất cả đều sai,A
Môi giới bất động sản là:,"Khai thác và định đoạt bất động sản theo ủy quyền của chủ sở hữu nhà, công trình xây dựng hoặc người có quyền sử dụng đất.","Trung gian cho các bên trong mua bán, chuyển nhượng, cho thuê, cho thuê lại, cho thuê mua bất động sản.",Trợ giúp về các vấn đề liên quan đến kinh doanh bất động sản theo yêu cầu của các bên.,Tất cả đều sai,A
Nội dung không phải là quyền của doanh nghiệp kinh doanh dịch vụ môi giới bất động sản?,Thực hiện nghĩa vụ về thuế với Nhà nước theo quy định của pháp luật. NV,Thực hiện dịch vụ môi giới bất động sản. Q,"Hưởng thù lao, hoa hồng môi giới theo thỏa thuận trong hợp đồng đã ký với khách hàng. Q",Tất cả đều sai,A
"Nhân viên C đã nghỉ việc tại công ty B, nhưng công ty B vẫn dùng chứng chỉ của C để đủ điều kiện hoạt động sàn giao dịch. Đây là hành vi gì?",Tiết kiệm nhân lực.,Vi phạm nghiêm trọng quy định về điều kiện kinh doanh.,Hợp tác đôi bên cùng có lợi.,Đúng quy định nếu C chưa thu hồi chứng chỉ.,A
Nhu cầu của con người có đặc điểm:,"Đa dạng, phong phú và luôn biến đổi",Đa dạng và luôn cố định,Cụ thể và luôn biến đổi.,Tất cả đều sai.,A
Các trường hợp phát triển nhà ở bao gồm:,"Nhà ở thương mại, nhà ở riêng lẻ, nhà ở công vụ","Nhà ở thương mại, nhà ở xã hộ, nhà ở công vụ","Nhà ở riêng lẻ, nhà ở xã hội, nhà ở công vụ","Nhà ở thương mại, nhà ở riêng lẻ, nhà ở xã hội và nhà ở công vụ",A
Nếu vi phạm quy định về địa điểm hoạt động của sàn giao dịch bất động sản hoặc thay đổi địa chỉ giao dịch mà không thông báo cho cơ quan nhà nước có thẩm quyền theo quy định thì bị phạt tiền?,Từ 20.000.000 đồng đến 30.000.000 đồng,Từ 30.000.000 đồng đến 50.000.000 đồng,Từ 80.000.000 đồng đến 100.000.000 đồng,Từ 120.000.000 đồng đến 160.000.000 đồng,A
Thị trường bất động sản phân theo cấp độ tham gia vào thị trường thì thị trường cấp 1 được hiểu là:,Thị trường sơ cấp,"Thị trường giao dịch giữa cơ quan quản lý, người đầu tư xây dựng bất động sản với các tổ chức dịch vụ, hoặc người sử dụng bất động sản để bán, cho thuê hoặc sử dụng..",Cả A và B đều đúng,Cả A và B đều sai,A
"Nếu thực hiện giao dịch mua bán, chuyển nhượng, cho thuê, cho thuê mua bất động sản qua sàn giao dịch bất động sản không đúng trình tự, thủ tục quy định hoặc khi bất động sản chưa đủ điều kiện giao dịch qua sàn giao dịch bất động sản theo quy định thì bị phạt tiền?",Từ 20.000.000 đồng đến 30.000.000 đồng,Từ 50.000.000 đồng đến 60.000.000 đồng,Từ 120.000.000 đồng đến 160.000.000 đồng,Từ 200.000.000 đồng đến 250.000.000 đồng,A
Đâu là sai lầm thường gặp khi gửi email cho khách hàng?,Sai chính tả,Xưng hô không phù hợp,Dùng từ sai,"Tất cả A, B và C",A
Đối với hành vi không đủ số người có chứng chỉ môi giới bất động sản theo quy định thì bị phạt tiền?,Từ 20.000.000 đồng đến 40.000.000 đồng,Từ 50.000.000 đồng đến 80.000.000 đồng,Từ 90.000.000 đồng đến 110.000.000 đồng,Từ 120.000.000 đồng đến 160.000.000 đồng,A
Nguyên tắc quan trọng khi viết thư chào bán bất động sản là gì?,Ca ngợi vai trò của khách hàng,Sử dụng thuật ngữ chuyên môn,Nhấn mạnh đặc điểm nổi trội của sản phẩm trên thị trường,Tất cả đều sai.,A
Người hành nghề môi giới cho người khác mượn hoặc thuê chứng chỉ hành nghề sẽ bị xử lý như thế nào?,Chỉ bị nhắc nhở phê bình.,Phạt tiền và tước quyền sử dụng chứng chỉ hành nghề từ 03 đến 06 tháng.,Bị thu hồi chứng chỉ vĩnh viễn ngay lập tức.,Không bị xử phạt nếu không gây hậu quả.,A
Hợp đồng đặt cọc theo quy định có bắt buộc phải công chứng không?,Có,Không,Tùy từng giao dịch,Chỉ có tài sản hình thành trong tương lai là bắt buộc.,A
Điều kiện có hiệu lực của giao dịch dân sự,Người tham gia giao dịch có năng lực hành vi dân sự; Người tham gia giao dịch hoàn toàn tự nguyện.,"Mục đích và nội dung của giao dịch không vi phạm điều cấm của pháp luật, không trái đạo đức xã hội;",Hình thức giao dịch dân sự là điều kiện có hiệu lực của giao dịch trong trường hợp pháp luật có quy định.,"Đáp án A, B và C",A
Nếu sàn giao dịch bất động sản hoạt động không đúng quy chế hoạt động đã đăng ký với Sở Xây dựng thì bị phạt tiền?,Từ 40.000.000 đồng đến 60.000.000 đồng,Từ 80.000.000 đồng đến 90.000.000 đồng,Từ 100.000.000 đồng đến 110.000.000 đồng,Từ 120.000.000 đồng đến 160.000.000 đồng,A
Quy định công khai thông tin đối với bất động sản được giao dịch trên sàn giao dịch bất động sản áp dụng:,Chỉ với những bất động sản đóng phí công khai thông tin,Chỉ với những bất động sản phải thực hiện đấu giá.,Chỉ với những bất động sản hình thành trong tương lai.,Tất cả các bất động sản,A
Trước khi cho khách hàng xem nhà nhân viên môi giới cần thông báo,Người bán,Công ty,Người mua,"Cả A, B và C",A
"Người mua bất động sản đặt cọc 200 triệu đồng để mua căn nhà với trị giá 2,0 tỷ đồng. Chủ nhà đổi ý không bán. Theo pháp luật dân sự hiện hành, chủ nhà sẽ trả tiền đặt cọc và đền bù tiền thiệt hại cho người mua tổng cộng là:",200 triệu đông,400 triệu đồng,800 triệu đồng,Không trả tiền bồi thường thiệt hại,A
Sàn giao dịch BĐS là gì?,Nơi diễn ra các giao dịch và cung cấp dịch vụ về BĐS,Nơi chứng thực các hồ sơ pháp lý về BĐS,"Nơi cung cấp thông tin, tiếp thị, quảng bá các dự án, sản phẩm BĐS",Cả A và C,A
Để thành lập một công ty kinh doanh dịch vụ môi giới bất động sản thì phải đủ điều kiện nào sau đây?,Phải có ít nhất 1 cá nhân có chứng chỉ hành nghề môi giới bất động sản,Phải có ít nhất 2 cá nhân có chứng chỉ hành nghề môi giới bất động sản,Phải có ít nhất 3 cá nhân có chứng chỉ hành nghề môi giới bất động sản,Không nhất thiết phải có chứng chỉ hành nghề môi giới bất động sản,A
